group,tag,n_utterances,overall_wer,overall_mer,sp_wer,sp_mer
A1,bilingual_en-es_100_seg,100,0.0348,0.0345,,
A1,bilingual_es-en_100_seg,100,0.0385,0.0381,,
A2,a2_es-en_100_nopause_cpu,100,0.317,0.3076,0.4257,0.4177
A2,a2_es-en_100_pause05_cpu,100,0.3008,0.2943,0.4076,0.3992
A3,a3_en-es-en_100_pause05_cpu,100,0.221,0.2123,0.3385,0.3322
A3,a3_es-en-es_100_pause05_cpu,100,0.2425,0.2294,0.588,0.5748
PREPROC,preproc_raw_20,20,0.2837,0.2798,0.375,0.3713
PREPROC,preproc_normalize_20,20,0.2647,0.2642,0.395,0.3911
PREPROC,preproc_preemphasis_10,10,0.4564,0.4486,0.52,0.5149
